### DATA:
#
# 2271
#      Q             I(Q)           Error     
8.90621672E-03  8.27419162E-02  4.44589494E-03
9.12612330E-03  7.86008239E-02  3.88067129E-03
9.34602989E-03  7.77753592E-02  3.46767133E-03
9.56593648E-03  8.35662708E-02  3.30158003E-03
9.78584306E-03  8.38839859E-02  3.05318547E-03
1.00057496E-02  7.98818693E-02  2.86775554E-03
1.02256562E-02  7.54635558E-02  2.52101329E-03
1.04455628E-02  8.17260966E-02  2.51314438E-03
1.06654694E-02  8.03055912E-02  2.29293757E-03
1.08853760E-02  7.65469894E-02  2.25110985E-03
1.11052826E-02  7.74110779E-02  2.13953241E-03
1.13251892E-02  7.84412473E-02  1.98458190E-03
1.15450957E-02  7.69497827E-02  2.03860921E-03
1.17650023E-02  7.29158670E-02  1.85155942E-03
1.19849089E-02  7.37313330E-02  1.85543706E-03
1.22048155E-02  7.33338892E-02  1.77286253E-03
1.24247221E-02  7.86333680E-02  1.67305234E-03
1.26446287E-02  7.23104626E-02  1.70749597E-03
1.28645353E-02  7.34762698E-02  1.59535750E-03
1.30844418E-02  7.47235790E-02  1.51608838E-03
1.33043484E-02  7.24798143E-02  1.59907326E-03
1.35242550E-02  7.34468400E-02  1.47011423E-03
1.37441616E-02  7.29865283E-02  1.53279636E-03
1.39640682E-02  7.15989545E-02  1.41923292E-03
1.41839748E-02  7.11845979E-02  1.43177983E-03
1.44038814E-02  6.86219409E-02  1.44418964E-03
1.46237879E-02  6.95572048E-02  1.33187760E-03
1.48436945E-02  6.84390962E-02  1.35741468E-03
1.50636011E-02  6.68323636E-02  1.25981848E-03
1.52835077E-02  6.64136335E-02  1.29431522E-03
1.55034143E-02  6.81744590E-02  1.28088393E-03
1.57233209E-02  6.99159577E-02  1.24990829E-03
1.59432275E-02  6.64058775E-02  1.22503081E-03
1.61631340E-02  6.75162822E-02  1.15241148E-03
1.63830406E-02  6.26783147E-02  1.21920262E-03
1.66029472E-02  6.42348900E-02  1.14162320E-03
1.68228538E-02  6.35017678E-02  1.13272959E-03
1.70427604E-02  6.18330315E-02  1.14651325E-03
1.72626670E-02  6.18040673E-02  1.06560016E-03
1.74825736E-02  6.38103038E-02  1.09972397E-03
1.77024801E-02  6.14070408E-02  1.05280520E-03
1.79223867E-02  6.02879003E-02  1.02361094E-03
1.81422933E-02  6.16559573E-02  1.08031722E-03
1.83621999E-02  5.99939749E-02  1.01489421E-03
1.85821065E-02  5.84747605E-02  1.03236262E-03
1.88020131E-02  5.70014194E-02  9.68419083E-04
1.90219197E-02  5.76736890E-02  9.81298653E-04
1.92418262E-02  5.71693107E-02  9.86907578E-04
1.94617328E-02  5.78446127E-02  9.56120115E-04
1.96816394E-02  5.56785241E-02  9.46970969E-04
1.99015460E-02  5.58111779E-02  9.01301957E-04
2.01214526E-02  5.64206913E-02  9.55879343E-04
2.03413592E-02  5.49081862E-02  9.16547667E-04
2.05612658E-02  5.57469688E-02  9.20292723E-04
2.07811723E-02  5.51840253E-02  9.10830635E-04
2.10010789E-02  5.43019399E-02  8.84846936E-04
2.12209855E-02  5.23422994E-02  9.20168869E-04
2.14408921E-02  5.12439720E-02  8.90301961E-04
2.16607987E-02  5.00137508E-02  8.91700085E-04
2.18807053E-02  5.15071228E-02  8.81900926E-04
2.21006119E-02  5.00013456E-02  8.47501342E-04
2.23205184E-02  5.00180274E-02  8.90251467E-04
2.25404250E-02  4.95968163E-02  8.49222985E-04
2.27603316E-02  4.81662340E-02  8.22076532E-04
2.29802382E-02  4.80087474E-02  7.93027623E-04
2.32001448E-02  4.72557880E-02  7.51101027E-04
2.34200514E-02  4.64935601E-02  7.46939907E-04
2.36399580E-02  4.55696546E-02  7.06223169E-04
2.38598645E-02  4.56277356E-02  7.03523717E-04
2.40797711E-02  4.49951589E-02  6.91055964E-04
2.42996777E-02  4.36545238E-02  6.75241849E-04
2.45195843E-02  4.19346653E-02  6.76886052E-04
2.47394909E-02  4.37358096E-02  6.46681160E-04
2.49593975E-02  4.38913032E-02  6.48407097E-04
2.51793041E-02  4.41775024E-02  6.50412154E-04
