### DATA:
#
# 2271
#      Q             I(Q)           Error     
3.46352872E-02  5.60330898E-02  8.90693942E-04
3.48551938E-02  5.42323291E-02  8.79664892E-04
3.50751004E-02  5.43484911E-02  8.64289634E-04
3.52950070E-02  5.33463433E-02  8.53606220E-04
3.55149136E-02  5.08492477E-02  8.37456197E-04
3.57348202E-02  5.04168309E-02  8.45369769E-04
3.59547268E-02  5.06089590E-02  8.31054612E-04
3.61746333E-02  4.95168902E-02  8.27622651E-04
3.63945399E-02  4.72581349E-02  8.05983434E-04
3.66144465E-02  4.66570482E-02  8.01542092E-04
3.68343531E-02  4.60318998E-02  8.04836373E-04
3.70542597E-02  4.44851667E-02  7.81709308E-04
3.72741663E-02  4.42245156E-02  7.74705630E-04
3.74940729E-02  4.37696949E-02  7.87019150E-04
3.77139794E-02  4.22026403E-02  7.64449280E-04
3.79338860E-02  4.16081920E-02  7.65411112E-04
3.81537926E-02  4.10669819E-02  7.29644881E-04
3.83736992E-02  3.97610255E-02  7.50333504E-04
3.85936058E-02  4.02473994E-02  7.44895719E-04
3.88135124E-02  3.75736840E-02  7.21071114E-04
3.90334190E-02  3.64004076E-02  7.19841473E-04
3.92533255E-02  3.75398509E-02  7.09537024E-04
3.94732321E-02  3.59608084E-02  7.04580371E-04
3.96931387E-02  3.67196798E-02  7.23999071E-04
3.99130453E-02  3.46169770E-02  6.83098693E-04
4.01329519E-02  3.49459946E-02  6.93117168E-04
4.03528585E-02  3.48682739E-02  6.91384589E-04
4.05727651E-02  3.35900337E-02  6.93363332E-04
4.07926716E-02  3.20108943E-02  6.81377685E-04
4.10125782E-02  3.19396369E-02  6.68570430E-04
4.12324848E-02  3.13533321E-02  6.72332194E-04
4.14523914E-02  3.07866894E-02  6.54350701E-04
4.16722980E-02  3.03478874E-02  6.69798316E-04
4.18922046E-02  2.97305305E-02  6.49757956E-04
4.21121112E-02  2.95601860E-02  6.48897083E-04
4.23320177E-02  2.80642323E-02  6.49367614E-04
4.25519243E-02  2.67410912E-02  6.25117582E-04
4.27718309E-02  2.67759096E-02  6.41710269E-04
4.29917375E-02  2.64350474E-02  6.24201126E-04
4.32116441E-02  2.54882183E-02  6.14593516E-04
4.34315507E-02  2.54959110E-02  6.35291879E-04
4.36514573E-02  2.41660532E-02  6.13371869E-04
4.38713638E-02  2.48714685E-02  6.18968451E-04
4.40912704E-02  2.40692906E-02  5.95903078E-04
4.43111770E-02  2.39261314E-02  6.16013151E-04
4.45310836E-02  2.13871747E-02  6.05365224E-04
4.47509902E-02  2.31405981E-02  5.99312826E-04
4.49708968E-02  2.05840878E-02  5.88083901E-04
4.51908033E-02  2.23642979E-02  5.93292866E-04
4.54107099E-02  2.03569494E-02  5.88538257E-04
4.56306165E-02  2.08727047E-02  5.89829909E-04
4.58505231E-02  1.98431350E-02  5.80093338E-04
4.60704297E-02  1.95952803E-02  5.75746476E-04
4.62903363E-02  1.83544643E-02  5.65004262E-04
4.65102429E-02  1.90137550E-02  5.83340587E-04
4.67301494E-02  1.75833423E-02  5.62522908E-04
4.69500560E-02  1.80044286E-02  5.59983794E-04
4.71699626E-02  1.77210532E-02  5.64601172E-04
4.73898692E-02  1.61275696E-02  5.47572427E-04
4.76097758E-02  1.66160893E-02  5.67316397E-04
4.78296824E-02  1.60910338E-02  5.47466770E-04
4.80495890E-02  1.66406184E-02  5.50563946E-04
4.82694955E-02  1.52146611E-02  5.51980154E-04
4.84894021E-02  1.60846151E-02  5.42092570E-04
4.87093087E-02  1.44881681E-02  5.42282627E-04
4.89292153E-02  1.48303956E-02  5.35634837E-04
4.91491219E-02  1.37730874E-02  5.32769057E-04
4.93690285E-02  1.38683282E-02  5.42446776E-04
4.95889351E-02  1.37347169E-02  5.30873064E-04
4.98088416E-02  1.31810531E-02  5.19369363E-04
5.00287482E-02  1.31861474E-02  5.23828092E-04
5.02486548E-02  1.24188196E-02  5.18596801E-04
5.04685614E-02  1.26047749E-02  5.29356529E-04
5.06884680E-02  1.18988343E-02  5.11024792E-04
5.09083746E-02  1.16725825E-02  5.14923779E-04
5.11282812E-02  1.15431435E-02  5.10644126E-04
5.13481877E-02  1.19402725E-02  5.17525825E-04
